,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
129.,Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,Margaretendamm 28,Bamberg,Germany,3510,n.a.,n.a.,121,125,133,125,123,122,128,124,n.a.,n.a.,199,208,182,195,173,165,179,178
278.,Stadtwerke Bernau GmbH,Breitscheidstr. 45,Bernau,Germany,3511,n.a.,n.a.,n.a.,n.a.,33,31,26,26,28,26,n.a.,n.a.,106,98,94,93,89,85,80,86
179.,Stadtwerke Bernburg GmbH,Muehlstr. 14,Bernburg,Germany,3513,n.a.,n.a.,54,52,56,47,44,44,42,42,n.a.,n.a.,76,77,77,76,75,72,72,68
49.,Stadtwerke Bielefeld Gesellschaft mit beschränkter Haftung,Schildescher Str. 16,Bielefeld,Germany,3513,n.a.,651,657,674,767,758,687,689,685,681,n.a.,"1,063","1,067","1,239","1,099","1,113","1,119","1,106","1,082","1,080"
141.,Stadtwerke Bietigheim- Bissingen GmbH,Roetestr. 8,Bietigheim-Bissingen,Germany,3514,n.a.,107,102,100,113,102,103,89,79,73,n.a.,191,190,185,212,178,149,116,109,101
215.,Stadtwerke Bitterfeld-Wolfen GmbH,Steinfurther Str. 46,Bitterfeld-Wolfen,Germany,3510,n.a.,28,25,26,28,28,25,27,26,26,n.a.,61,58,58,56,54,52,66,73,73
130.,Stadtwerke Bochum Holding GmbH,Ostring 28,Bochum,Germany,3530,n.a.,n.a.,121,105,114,110,462,563,529,522,n.a.,n.a.,202,214,227,218,286,705,710,728
221.,Stadtwerke Böblingen GmbH & Co. KG,Wolfgang-Brumme-Allee 32,Boeblingen,Germany,3511,n.a.,n.a.,25,22,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,62,50,48,n.a.,n.a.,n.a.,n.a.,n.a.
173.,Stadtwerke Burg Gesellschaft mit beschränkter Haftung,Niegripper Chaussee 38 a,Burg,Germany,3511,n.a.,61,49,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,64,60,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
122.,Stadtwerke Cottbus GmbH,Karl-Liebknecht-Str. 130,Cottbus,Germany,3530,n.a.,n.a.,136,146,153,136,117,114,175,166,n.a.,n.a.,222,223,218,214,218,228,247,271
144.,Stadtwerke Detmold GmbH,Am Gelskamp 10,Detmold,Germany,3511,n.a.,n.a.,102,99,102,101,99,89,n.a.,n.a.,n.a.,n.a.,160,159,152,153,150,n.a.,n.a.,n.a.
20.,Stadtwerke Düsseldorf AG,Hoeherweg 100,Duesseldorf,Germany,5222,n.a.,"2,072","1,964","1,968","2,031","2,013","1,954","1,816","2,080","2,063",n.a.,"1,483","1,527","1,552","1,620","1,701","1,645","2,553","2,600","2,596"
30.,Stadtwerke Duisburg Aktiengesellschaft,Bungertstr. 27,Duisburg,Germany,3510,n.a.,n.a.,"1,270","1,943","2,257","1,605","1,103",921,948,857,n.a.,n.a.,760,888,905,921,"1,058","1,000","1,479","1,482"
195.,Stadtwerke Eberswalde GmbH,Bergerstr. 105,Eberswalde,Germany,3510,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,34,36,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33,33
232.,Stadtwerke Eilenburg GmbH,Sydowstr. 1,Eilenburg,Germany,3510,n.a.,15,14,14,14,14,13,17,15,14,n.a.,32,30,33,32,30,29,29,28,29
191.,Stadtwerke Erkrath GmbH,Gruitener Str. 27,Erkrath,Germany,3510,n.a.,n.a.,48,47,51,51,46,46,45,43,n.a.,n.a.,99,107,108,99,94,70,68,69
209.,Stadtwerke Finsterwalde GmbH,Langer Damm 14,Finsterwalde,Germany,3521,n.a.,n.a.,34,34,36,34,34,34,32,30,n.a.,n.a.,88,87,91,87,69,84,82,87
65.,Stadtwerke Flensburg GmbH,Batteriestr. 48,Flensburg,Germany,3513,n.a.,n.a.,408,403,351,347,364,338,264,248,n.a.,n.a.,805,844,951,912,943,939,932,888
163.,Stadtwerke Frankfurt (Oder) GmbH,Karl-Marx-Str. 195,Frankfurt,Germany,3510,n.a.,73,79,88,100,98,89,98,101,96,n.a.,95,102,107,106,111,116,123,128,128
162.,Stadtwerke Gelsenkirchen GmbH,Ebertstr. 30,Gelsenkirchen,Germany,3530,n.a.,n.a.,71,75,79,76,80,83,n.a.,82,n.a.,n.a.,862,863,821,848,884,884,789,767
63.,Stadtwerke Gießen AG,Lahnstr. 31,Giessen,Germany,3513,n.a.,n.a.,434,419,409,352,315,269,244,245,n.a.,n.a.,787,778,764,751,742,716,704,655
167.,Stadtwerke Görlitz Aktiengesellschaft,Demianiplatz 23,Goerlitz,Germany,3600,n.a.,n.a.,65,63,63,64,58,55,53,52,n.a.,n.a.,240,239,241,238,228,231,n.a.,n.a.
145.,Stadtwerke Göttingen Aktiengesellschaft,Hildebrandstr. 1,Goettingen,Germany,3520,n.a.,n.a.,100,91,100,89,81,87,92,95,n.a.,n.a.,172,161,157,147,138,140,141,141
170.,Stadtwerke Gotha GmbH,Pfullendorfer Str. 83,Gotha,Germany,3513,n.a.,n.a.,62,63,68,12,12,12,13,12,n.a.,n.a.,77,79,51,21,21,22,22,23
152.,Stadtwerke Greifswald GmbH,Guetzkower Landstr. 19 -21,Greifswald,Germany,3511,n.a.,93,98,100,95,85,75,77,70,70,n.a.,234,224,223,216,217,210,261,202,205
174.,Stadtwerke Güstrow GmbH,Zum Hohen Rad 48,Guestrow,Germany,3513,n.a.,n.a.,59,51,52,47,44,39,38,34,n.a.,n.a.,105,101,95,94,93,93,92,n.a.
104.,Stadtwerke Hanau Gesellschaft mit beschränkter Haftung,Leipziger Str. 17,Hanau,Germany,3513,n.a.,n.a.,197,213,223,229,231,220,223,214,n.a.,n.a.,129,134,143,249,302,304,313,318
22.,Stadtwerke Hannover Aktiengesellschaft,Ihmeplatz 2,Hannover,Germany,3511,n.a.,"2,025","2,450","2,499","2,614","2,809","2,945","2,771","3,185","3,115",n.a.,"2,338","2,399","2,447","2,479","2,477","2,493","2,538","2,613","2,626"
212.,Stadtwerke Heidelberg Umwelt GmbH,Kurfuersten-Anlage 42 50,Heidelberg,Germany,7010,n.a.,32,33,24,20,13,14,16,n.a.,n.a.,n.a.,24,20,18,14,9,8,n.a.,n.a.,n.a.
231.,Stadtwerke Hennigsdorf GmbH,Rathenaustr. 4,Hennigsdorf,Germany,3530,n.a.,n.a.,15,15,17,16,15,15,17,15,n.a.,n.a.,32,31,32,33,45,44,41,39
121.,Stadtwerke Ingolstadt Energie GmbH,Ringlerstr. 28,Ingolstadt,Germany,3510,n.a.,138,150,164,211,314,265,257,196,180,n.a.,41,40,40,38,31,28,31,25,25
126.,Stadtwerke Iserlohn GmbH,Stefanstr. 4 -8,Iserlohn,Germany,3513,n.a.,133,135,138,148,121,100,99,104,105,n.a.,185,180,191,192,180,172,144,150,131
53.,Stadtwerke Karlsruhe GmbH,Daxlander Str. 72,Karlsruhe,Germany,9609,n.a.,607,700,648,699,709,795,"1,036","1,050","1,132",n.a.,726,722,717,"1,104","1,110","1,109","1,110","1,135","1,136"
54.,Stadtwerke Kiel Aktiengesellschaft,Uhlenkrog 32,Kiel,Germany,3511,n.a.,556,591,596,656,178,185,180,163,150,n.a.,935,953,991,993,973,991,"1,018",906,924
23.,Stadtwerke Leipzig GmbH,Augustusplatz 7,Leipzig,Germany,3511,n.a.,"1,967","2,072","2,329","3,322","4,114","4,160","3,247","2,894","3,030",n.a.,565,629,626,632,877,898,"1,036","1,068","1,151"
154.,Stadtwerke Lemgo GmbH,Bruchweg 24,Lemgo,Germany,3500,n.a.,84,81,81,85,82,77,72,72,88,n.a.,168,172,176,184,161,153,156,160,162
161.,Stadtwerke Lutherstadt Wittenberg GmbH,Lucas-Cranach-Str. 22,Lutherstadt Wittenberg,Germany,3513,n.a.,n.a.,72,79,77,71,67,59,53,51,n.a.,n.a.,147,147,142,78,69,114,113,113
124.,Stadtwerke Marburg GmbH,Am Krekel 55,Marburg,Germany,3510,n.a.,n.a.,133,135,146,134,122,114,111,104,n.a.,n.a.,588,585,616,630,629,575,573,573
192.,Stadtwerke Meiningen GmbH,Utendorfer Str. 122,Meiningen,Germany,3511,n.a.,n.a.,48,48,48,46,n.a.,n.a.,37,44,n.a.,n.a.,157,185,187,n.a.,n.a.,n.a.,173,n.a.
181.,Stadtwerke Merseburg GmbH,Grosse Ritterstr. 9,Merseburg,Germany,3510,n.a.,n.a.,52,49,49,43,38,37,27,26,n.a.,n.a.,14,14,14,15,45,64,61,60
56.,Stadtwerke Münster GmbH,Hafenplatz 1,Muenster,Germany,3511,n.a.,n.a.,534,543,521,507,474,495,500,469,n.a.,n.a.,"1,281","1,316","1,319","1,287","1,173","1,094","1,085","1,256"
185.,Stadtwerke Neuruppin GmbH,Heinrich-Rau-Str. 3,Neuruppin,Germany,3511,n.a.,n.a.,50,48,50,47,44,42,41,39,n.a.,n.a.,110,109,105,101,111,125,122,122
203.,Stadtwerke Neustrelitz GmbH,Wilhelm-Stolte-Str. 90,Neustrelitz,Germany,3513,n.a.,n.a.,39,39,39,38,35,35,33,29,n.a.,n.a.,117,116,120,114,111,105,105,107
112.,Stadtwerke Norderstedt,Heidbergstr. 101-111,Norderstedt,Germany,3522,n.a.,n.a.,171,159,157,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,454,416,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
225.,Stadtwerke Oerlinghausen GmbH,Rathausstr. 23,Oerlinghausen,Germany,3513,n.a.,n.a.,23,22,23,21,20,20,21,20,n.a.,n.a.,43,43,45,44,45,46,48,45
186.,Stadtwerke Oranienburg GmbH,Klagenfurter Str. 41,Oranienburg,Germany,3511,n.a.,n.a.,50,50,41,37,33,32,34,32,n.a.,n.a.,106,98,93,91,89,86,89,89
223.,Stadtwerke Parchim GmbH,Ostring 38,Parchim,Germany,3530,n.a.,n.a.,24,23,23,21,21,22,22,22,n.a.,n.a.,55,54,50,61,47,47,48,49
166.,"Stadtwerke Peine, Gesellschaft mit beschränkter Haftung",Woltorfer Str. 64,Peine,Germany,3513,n.a.,67,62,67,67,60,59,59,63,56,n.a.,130,125,116,116,114,110,111,110,7
168.,Stadtwerke Pirmasens Versorgungs GmbH,An der Streckbruecke 4,Pirmasens,Germany,8411,n.a.,66,66,65,74,69,67,60,62,63,n.a.,115,112,113,113,110,n.a.,n.a.,n.a.,n.a.
137.,Stadtwerke Ratingen GmbH,Sandstr. 36,Ratingen,Germany,3513,n.a.,n.a.,108,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,243,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
316.,Stadtwerke Reichenbach/Vogtl. GmbH,Rossplatz 13,Reichenbach,Germany,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16,n.a.,n.a.,42,39,36,34,34,34,39,38
246.,Stadtwerke Rheinsberg GmbH,Rudolf-Breitscheid-Str. 1,Rheinsberg,Germany,3530,n.a.,n.a.,3,3,3,3,3,3,n.a.,n.a.,n.a.,n.a.,9,9,9,9,9,9,n.a.,8
190.,Stadtwerke Riesa Gesellschaft mit beschränkter Haftung,Alter Pfarrweg 1,Riesa,Germany,3513,n.a.,n.a.,48,46,49,48,45,49,50,49,n.a.,n.a.,212,208,201,191,186,184,186,198
115.,Stadtwerke Rosenheim GmbH & Co. KG,Bayerstr. 5,Rosenheim,Germany,8411,n.a.,n.a.,162,161,165,143,136,152,168,129,n.a.,n.a.,458,433,415,423,338,337,320,315
97.,Stadtwerke Rostock Aktiengesellschaft,Schmarler Damm 5,Rostock,Germany,3530,n.a.,240,232,233,251,245,225,233,246,226,n.a.,545,550,556,553,540,526,517,509,508
206.,Stadtwerke Saarbrücken GmbH,Hohenzollernstr. 104 -106,Saarbruecken,Germany,8299,n.a.,n.a.,34,37,41,30,20,16,24,19,n.a.,n.a.,156,160,163,154,156,152,140,130
217.,Stadtwerke Sangerhausen GmbH,Alban-Hess-Str. 29,Sangerhausen,Germany,3511,n.a.,n.a.,27,28,29,25,24,24,25,24,n.a.,n.a.,75,67,68,64,60,61,60,62
208.,Stadtwerke Schneeberg GmbH,Joseph-Haydn-Str. 5,Schneeberg,Germany,3511,n.a.,n.a.,34,32,33,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,58,58,58,50,47,47,47,47
176.,Stadtwerke Schönebeck GmbH - SWS -,Friedrichstr. 117,Schoenebeck,Germany,3513,n.a.,n.a.,56,58,54,37,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,104,101,99,90,84,83,81,79
89.,Stadtwerke Schwäbisch Hall GmbH,An der Limpurgbruecke 1,Schwaebisch Hall,Germany,3510,n.a.,262,270,265,270,260,242,182,134,111,n.a.,509,494,484,477,447,377,324,300,271
183.,Stadtwerke Schwedt GmbH,Heinersdorfer Damm 55 - 57,Schwedt,Germany,3511,n.a.,n.a.,51,48,43,38,36,35,35,33,n.a.,n.a.,80,79,76,76,73,70,73,70
286.,Stadtwerke Senftenberg GmbH,Laugkstr. 13 -15,Senftenberg,Germany,3514,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,49,48,48,48,49,49,47,50
135.,Stadtwerke Speyer GmbH,Georg-Peter-Suess-Str. 2,Speyer,Germany,3500,n.a.,n.a.,109,94,95,84,80,80,77,74,n.a.,n.a.,227,198,194,189,190,187,195,196
222.,Stadtwerke Strausberg GmbH,Kastanienallee 38,Strausberg,Germany,3510,n.a.,n.a.,25,25,25,24,23,21,25,24,n.a.,n.a.,54,55,54,50,50,47,46,48
201.,Stadtwerke Suhl/Zella-Mehlis GmbH,Froehliche-Mann-Str. 2,Suhl,Germany,3510,n.a.,42,44,44,48,48,51,65,74,68,n.a.,41,44,43,40,39,40,70,72,72
95.,Stadtwerke Tübingen GmbH,Eisenhutstr. 6,Tuebingen,Germany,3511,n.a.,n.a.,235,210,214,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,489,465,450,n.a.,n.a.,n.a.,n.a.,n.a.
234.,Stadtwerke Velten GmbH,Viktoriastr. 12,Velten,Germany,3511,n.a.,n.a.,13,13,13,11,4,n.a.,n.a.,n.a.,n.a.,n.a.,26,24,25,20,16,n.a.,15,15
177.,Stadtwerke Weimar Stadtversorgungs-GmbH,Industriestr. 14,Weimar,Germany,3522,n.a.,n.a.,55,57,63,57,59,66,69,62,n.a.,n.a.,67,59,60,59,59,77,78,77
292.,Stadtwerke Werdau GmbH,Zwickauer Str. 39,Werdau,Germany,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,45,49,51,48,45,44,42,40
159.,Stadtwerke Wernigerode GmbH,Am Kupferhammer 38,Wernigerode,Germany,3511,n.a.,n.a.,73,66,65,59,54,58,58,56,n.a.,n.a.,100,102,98,91,87,85,86,85
180.,Stadtwerke Wismar GmbH,Floeter Weg 6 -12,Wismar,Germany,3510,n.a.,n.a.,53,54,54,52,49,50,49,51,n.a.,n.a.,97,100,89,93,93,91,90,95
294.,Stadtwerke Wittenberge GmbH,Bentwischer Chaussee 1,Lindenberg,Germany,9609,n.a.,n.a.,n.a.,n.a.,27,27,25,n.a.,n.a.,n.a.,n.a.,n.a.,44,42,44,43,42,41,40,40
189.,Stadtwerke Zeitz GmbH,Geussnitzer Str. 74,Zeitz,Germany,3600,n.a.,n.a.,48,47,49,47,41,40,38,38,n.a.,n.a.,119,121,119,111,102,96,93,93
202.,Stadtwerke Zittau GmbH,Friedensstr. 17,Zittau,Germany,3513,n.a.,40,39,39,41,38,35,35,33,32,n.a.,68,68,69,65,62,58,53,55,53
175.,Städtische Werke Energie + Wärme GmbH,Koenigstor 3 -13,Kassel,Germany,3530,n.a.,59,60,54,61,70,70,69,69,61,n.a.,225,224,229,230,243,226,n.a.,n.a.,n.a.
60.,Städtische Werke Magdeburg GmbH & Co. KG,Am Alten Theater 1,Magdeburg,Germany,3530,n.a.,473,469,507,500,451,433,423,404,399,n.a.,720,714,704,705,694,695,704,706,711
313.,Stahlwerk Bous GmbH,Saarstr.,Bous,Germany,2410,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,237,208,193,424,n.a.,n.a.,n.a.,n.a.,379,367,362,334,326,331
68.,Stahlwerk Thüringen GmbH,Kronacher Str. 6,Unterwellenborn,Germany,2410,n.a.,n.a.,393,431,427,513,490,433,328,746,n.a.,n.a.,702,700,692,666,654,656,691,691
257.,Star Aviation Limited,International Corporate Management of Bermuda Limi,Hamilton,Bermuda,6420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8.,Statkraft Markets GmbH,Derendorfer Allee 2 a,Duesseldorf,Germany,3514,n.a.,"13,255","16,767","16,565","19,155","20,898","15,120","7,867","5,585","5,181",n.a.,172,167,174,175,192,208,195,192,134
205.,Statoil Deutschland Storage GmbH,Conradsweg 5,Friedeburg,Germany,5210,n.a.,36,54,57,15,29,25,24,n.a.,n.a.,n.a.,7,11,30,27,15,1,n.a.,n.a.,n.a.
133.,STEAG Power Saar GmbH,Trierer Str. 4,Saarbruecken,Germany,3511,n.a.,n.a.,111,245,281,329,342,303,350,455,n.a.,n.a.,184,376,500,665,674,674,657,712
218.,Steinbeis Energie GmbH,Stadtstr. 20,Glueckstadt,Germany,3530,n.a.,n.a.,27,31,29,35,31,31,17,16,n.a.,n.a.,28,28,26,26,25,28,28,25
108.,Steinbeis Papier GmbH,Stadtstr. 20,Glueckstadt,Germany,1712,n.a.,n.a.,187,191,183,196,184,177,164,n.a.,n.a.,n.a.,270,306,306,302,303,301,300,n.a.
329.,Steiner-Film Inh. Siegfried Steiner e.K.,Perlacher Str. 16,Gruenwald,Germany,5911,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
182.,Steinzeug-Keramo GmbH,Alfred-Nobel-Str. 17,Frechen,Germany,4673,n.a.,53,65,72,69,70,56,54,47,62,n.a.,326,345,335,319,308,288,272,325,329
372.,STEULER-KCH Materials GmbH,Georg-Steuler-Str. 39,Hoehr-Grenzhausen,Germany,4334,n.a.,124,126,121,125,129,124,n.a.,n.a.,n.a.,566,551,545,443,458,442,452,n.a.,n.a.,n.a.
194.,Stölzle Lausitz GmbH,Berliner Str. 22 -32,Weisswasser,Germany,2313,n.a.,n.a.,46,46,39,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,364,357,345,332,330,278,242,234
233.,Stora Enso Baienfurt GmbH,Bergatreuter Str. 50,Baienfurt,Germany,1712,n.a.,n.a.,14,12,11,12,12,12,17,20,n.a.,n.a.,48,42,44,58,63,64,120,358
86.,Stora Enso Maxau GmbH,Mitscherlichstr.,Karlsruhe,Germany,1712,n.a.,n.a.,266,291,278,287,268,293,316,407,n.a.,n.a.,414,429,449,449,495,616,651,687
119.,Stora Enso Sachsen GmbH,Am Schanzberg 1,Eilenburg,Germany,1712,n.a.,n.a.,144,166,165,163,174,154,177,211,n.a.,n.a.,246,244,270,290,298,317,336,338
136.,Storengy Deutschland GmbH,Zimmerstr. 56,Berlin,Germany,3523,n.a.,112,124,225,148,83,58,37,16,n.a.,n.a.,60,60,62,59,59,40,34,27,n.a.
214.,Ströher GmbH,Stroeherstr. 2 -10,Dillenburg,Germany,2332,n.a.,n.a.,29,36,34,32,32,31,29,n.a.,n.a.,n.a.,130,271,242,256,260,274,256,257
365.,Stute Nahrungsmittelwerke GmbH & Co. KG,Abtsbrede 129,Paderborn,Germany,4638,n.a.,330,329,354,397,426,458,n.a.,n.a.,n.a.,414,414,414,411,407,74,76,n.a.,n.a.,n.a.
138.,StWB Stadtwerke Brandenburg an der Havel GmbH & Co. KG,Packhofstr. 31,Brandenburg,Germany,3530,n.a.,109,110,125,113,111,105,119,132,117,n.a.,241,245,n.a.,239,235,231,234,235,228
253.,Süd-Chemie AG,,,Sweden,6820,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.
96.,Südwestdeutsche Salzwerke Aktiengesellschaft,Salzgrund 67,Heilbronn,Germany,0891,n.a.,241,255,230,312,285,311,352,286,241,n.a.,"1,043","1,077","1,093","1,109","1,147","1,182","1,130","1,098","1,077"
11.,Südzucker AG,Maximilianstrasse 10,Mannheim,Germany,1081,n.a.,"6,543","6,474","6,882","7,642","7,957","7,090","6,247","5,855","6,073",n.a.,"16,908","16,486","18,460","18,186","17,940","17,489","17,658","17,493","17,939"
57.,Südbayerisches Portland-Zementwerk Gebr. Wiesböck & Co. GmbH,Sinning 1,Rohrdorf,Germany,4673,n.a.,521,342,307,296,286,277,248,236,253,n.a.,"1,632","1,197","1,077","1,095",981,944,941,894,897
149.,Südstärke Gesellschaft mit beschränkter Haftung,Koenigslachener Weg 2 a,Schrobenhausen,Germany,1062,n.a.,n.a.,95,101,88,121,118,92,86,110,n.a.,n.a.,269,256,248,243,243,248,254,243
352.,Suiker Unie GmbH & Co. KG,,,Germany,1081,n.a.,120,n.a.,n.a.,100,100,118,n.a.,n.a.,n.a.,183,183,183,128,128,128,139,n.a.,n.a.,n.a.
331.,Sun D'or International Airlines LTD,,Lod Airport,Israel,5110,n.a.,n.a.,n.a.,n.a.,10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27,n.a.,n.a.,n.a.,n.a.,26,n.a.
75.,SunExpress Deutschland GmbH,De-Saint-Exupery-Str. 10,Frankfurt,Germany,5100,n.a.,n.a.,323,283,195,177,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,518,454,415,302,n.a.,n.a.,n.a.,n.a.
150.,swb Entsorgung GmbH & Co. KG,Theodor-Heuss-Allee 20,Bremen,Germany,3820,n.a.,n.a.,94,90,90,71,61,n.a.,n.a.,n.a.,n.a.,n.a.,100,111,117,123,123,n.a.,n.a.,n.a.
71.,swb Erzeugung AG & Co. KG,Theodor-Heuss-Allee 20,Bremen,Germany,3511,n.a.,n.a.,386,507,615,659,649,n.a.,n.a.,n.a.,n.a.,n.a.,481,490,518,565,574,n.a.,n.a.,n.a.
188.,swb Services AG & Co. KG,Theodor-Heuss-Allee 20,Bremen,Germany,7112,n.a.,n.a.,49,46,52,51,46,n.a.,n.a.,n.a.,n.a.,n.a.,116,121,135,137,n.a.,n.a.,n.a.,n.a.
90.,SWE Energie GmbH,Magdeburger Allee 34,Erfurt,Germany,3511,n.a.,255,245,269,290,316,396,329,381,339,n.a.,138,132,120,123,119,114,97,94,92
351.,SWISS KRONO GmbH + SWISS KRONO TEX GmbH & Co. KG,Wittstocker Chaussee 1,Heiligengrabe,Germany,1621,n.a.,n.a.,n.a.,n.a.,373,363,383,367,n.a.,n.a.,n.a.,366,249,233,204,198,193,195,n.a.,n.a.
55.,SWK Energie GmbH,St. Toeniser Str. 124,Krefeld,Germany,3600,n.a.,n.a.,540,650,769,740,751,698,686,755,n.a.,n.a.,184,180,169,166,139,124,119,112
21.,SWM Services GmbH,Emmy-Noether-Str. 2,Muenchen,Germany,3511,n.a.,n.a.,"1,999","2,033","1,971","2,036","1,691","1,865","2,013","1,725",n.a.,n.a.,"2,579","2,603","2,660","2,632","2,616","2,563","2,517","2,458"
101.,SWK Stadtwerke Kaiserslautern Versorgungs-AG,Bismarckstr. 51,Neumuenster,Germany,3510,n.a.,226,209,181,179,166,212,175,155,154,n.a.,361,345,315,297,290,279,280,271,254
80.,SWU Energie GmbH,Karlstr. 1 -3,Ulm,Germany,3510,n.a.,n.a.,307,372,386,355,327,266,267,271,n.a.,n.a.,171,243,248,237,221,423,447,451
251.,Taunussteinwerk Schmidt GmbH,Hauptstr. 1 - Hauserbach,Miehlen,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
267.,Technische Universität Kaiserslautern,Gottlieb-Daimler-Str. 44,Kaiserslautern,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
287.,Technische Werke Coswig GmbH,Karrasstr. 3,Coswig,Germany,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,n.a.,n.a.,18,18,18,17,17,17,17,18,n.a.
70.,Technische Werke Ludwigshafen am Rhein Aktiengesellschaft,Industriestr. 3 /3a,Ludwigshafen,Germany,3511,n.a.,n.a.,390,337,331,283,268,285,298,301,n.a.,n.a.,892,892,896,913,885,901,924,970
370.,TECNOKARTON GmbH & Co Fabrikation technischen Kartons Kommanditgesellschaft,Polcher Str. 113,Mayen,Germany,1721,n.a.,n.a.,140,138,147,147,154,135,n.a.,n.a.,n.a.,112,112,111,108,108,102,103,n.a.,n.a.
344.,Telux Glasproducts & Components GmbH,Strasse der Einheit 2 -24,Weisswasser,Germany,2310,n.a.,3,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17,17,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
125.,terranets bw GmbH,Am Wallgraben 135,Stuttgart,Germany,3522,n.a.,135,121,30,110,116,124,101,"1,670","2,098",n.a.,210,199,192,190,183,200,n.a.,242,235
128.,tesa Werk Hamburg GmbH,Heykenaukamp 10,Hamburg,Germany,2059,n.a.,n.a.,123,141,147,138,126,113,91,102,n.a.,n.a.,526,536,518,498,436,388,416,429
113.,tesa Werk Offenburg GmbH,Kinzigstr. 5,Offenburg,Germany,2052,n.a.,n.a.,170,166,167,158,160,141,119,136,n.a.,n.a.,365,369,361,420,n.a.,396,419,428
337.,Tesium GmbH,Muehlenfeldstr. 1,Holzminden,Germany,7111,n.a.,60,59,59,59,58,58,n.a.,n.a.,n.a.,260,260,260,260,260,260,n.a.,n.a.,n.a.,n.a.
216.,Texon Möckmühl GmbH,Roigheimer Str. 69 -72,Moeckmuehl,Germany,1712,n.a.,28,29,29,29,27,25,24,20,23,n.a.,73,74,72,69,66,69,70,n.a.,n.a.
13.,Thai Airways International Public Company Limited,89,"Jatujak, Bangkok",Thailand,5110,n.a.,"4,781","4,804","4,772","4,658","5,232","4,722","4,567","3,405","4,154",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
172.,The Carbo Group GmbH,Kappeler Str. 105,Duesseldorf,Germany,7490,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
